timestamp,label_original,label_original_confidence,label_noised,label_noised_confidence,label_denoised,label_denoised_confidence,confidence_difference
1693908785982,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693908817579,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693908849740,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693908880620,Earth,0.914204,Bad,0.936421,Earth,0.744462,-0.169742
1693908953420,Earth,0.97323,Bad,0.942463,Earth,0.90776,-0.06547
1693909517660,Bad,0.769825,N/A,N/A,N/A,N/A,N/A
1693909548701,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693909579981,Bad,0.829212,N/A,N/A,N/A,N/A,N/A
1693909611739,Bad,0.885071,N/A,N/A,N/A,N/A,N/A
1693909643181,Bad,0.894385,N/A,N/A,N/A,N/A,N/A
1693909673899,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693909706701,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693909743660,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693909778781,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693909887342,Bad,0.909631,N/A,N/A,N/A,N/A,N/A
1693909914381,Bad,0.832962,N/A,N/A,N/A,N/A,N/A
1693909938059,Bad,0.931364,N/A,N/A,N/A,N/A,N/A
1693909966060,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1693910000542,Bad,0.737505,N/A,N/A,N/A,N/A,N/A
1693910032701,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082424800,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082465442,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082501200,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082538562,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082589120,Earth,0.835634,Bad,0.945042,Earth,0.791594,-0.04404
1694082665200,Earth,0.914706,Bad,0.879496,Earth,0.877654,-0.037052
1694082742162,Bad,0.863412,N/A,N/A,N/A,N/A,N/A
1694082775601,Bad,0.848982,N/A,N/A,N/A,N/A,N/A
1694082792722,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082823762,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082858881,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694082892081,Bad,0.908326,N/A,N/A,N/A,N/A,N/A
1694082923759,Earth,0.9119,Bad,0.835417,Earth,0.861766,-0.050134
1694082999279,Earth,0.833098,Bad,0.933886,Earth,0.522569,-0.310529
1694083071600,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694083085840,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694083099921,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694083114082,Bad,0.895755,N/A,N/A,N/A,N/A,N/A
1694083137921,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694083174961,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694083297523,Bad,0.807233,N/A,N/A,N/A,N/A,N/A
1694083645602,Bad,0.878262,N/A,N/A,N/A,N/A,N/A
1694083677360,Earth,0.85912,Bad,0.919978,Earth,0.699713,-0.159407
1694083749762,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694083782400,Earth,0.842704,Bad,0.945987,Earth,0.889316,0.046612
1694083857441,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694083997601,Bad,0.890152,N/A,N/A,N/A,N/A,N/A
1694084029201,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694084069041,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694084105519,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694084162162,Earth,0.831075,Bad,0.925919,Earth,0.875653,0.044578
1694296017822,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694296032861,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694296047183,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694296061341,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694296079181,Earth,0.859179,Bad,0.884086,Earth,0.501607,-0.357572
1694296161981,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694296202223,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694296245820,Bad,0.89151,N/A,N/A,N/A,N/A,N/A
1694296281425,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694296389424,Earth,0.889452,Bad,0.741244,Earth,0.865238,-0.024214
1694296470061,Earth,0.97387,Earth,0.909417,Earth,0.938729,-0.035141
1694296621582,Bad,0.907,N/A,N/A,N/A,N/A,N/A
1694296643744,Bad,0.718571,N/A,N/A,N/A,N/A,N/A
1694296678621,Earth,0.981297,Bad,0.774388,Earth,0.814214,-0.167083
1694296779423,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694296793663,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694296808063,Bad,0.848438,N/A,N/A,N/A,N/A,N/A
1694296875902,Earth,0.90652,Bad,0.917593,Earth,0.899948,-0.006572
1694296955103,Bad,0.774006,N/A,N/A,N/A,N/A,N/A
1694296996463,Bad,0.727262,N/A,N/A,N/A,N/A,N/A
1694297029101,Bad,0.765645,N/A,N/A,N/A,N/A,N/A
1694297061021,Earth,0.836431,Bad,0.853417,Earth,0.860279,0.023848
1694297142861,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694297176941,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694297209263,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694297240224,Bad,0.921245,N/A,N/A,N/A,N/A,N/A
1694297269343,Earth,0.806482,Bad,0.91388,Earth,0.700753,-0.105729
1694297346623,Bad,0.952662,N/A,N/A,N/A,N/A,N/A
1694297374062,Bad,0.946152,N/A,N/A,N/A,N/A,N/A
1694297401743,Bad,0.932275,N/A,N/A,N/A,N/A,N/A
1694297429341,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694297455662,Bad,0.882305,N/A,N/A,N/A,N/A,N/A
1694297481021,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694297506143,Bad,0.865117,N/A,N/A,N/A,N/A,N/A
1694297531183,Bad,0.857875,N/A,N/A,N/A,N/A,N/A
1694297553662,Bad,0.832999,N/A,N/A,N/A,N/A,N/A
1694297577981,Bad,0.83647,N/A,N/A,N/A,N/A,N/A
1694297602463,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694297627021,Bad,0.896541,N/A,N/A,N/A,N/A,N/A
1694430647799,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430662601,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430677321,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430691640,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430706119,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430720440,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430734841,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430749160,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430763639,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430777961,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430792442,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694430807480,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694430832602,Earth,0.819048,Bad,0.643564,Earth,0.716028,-0.10302
1694430909719,Earth,0.908889,Bad,0.938984,Earth,0.79818,-0.110709
1694431098599,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431113399,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431128359,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431142840,Bad,0.85774,N/A,N/A,N/A,N/A,N/A
1694431163880,Edge,0.724305,N/A,N/A,N/A,N/A,N/A
1694431211883,Earth,0.87347,Bad,0.78961,Earth,0.878321,0.004851
1694431299961,Earth,0.95954,Bad,0.936024,Earth,0.878387,-0.081153
1694431385001,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431399399,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431413640,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431428600,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431443079,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431469480,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431483720,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431497799,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431707719,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431721801,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694431767800,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694431796679,Earth,0.852475,Earth,0.481207,Earth,0.842974,-0.009501
1694431887961,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694431920519,Bad,0.877435,N/A,N/A,N/A,N/A,N/A
1694431951160,Bad,0.905485,N/A,N/A,N/A,N/A,N/A
1694431981719,Earth,0.853422,Bad,0.925828,Earth,0.931852,0.07843
1694432053801,Earth,0.810022,Bad,0.924786,Bad,0.497667,N/A
1694432124600,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694432159799,Earth,0.79252,Earth,0.707808,Earth,0.934171,0.141651
1694432234441,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694432248680,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694432326439,Bad,0.853041,N/A,N/A,N/A,N/A,N/A
1694432341721,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694432355881,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694432370039,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694432384200,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694554385806,Earth,0.741235,Bad,0.944693,Earth,0.508343,-0.232892
1694554461485,Earth,0.82264,Bad,0.93709,Bad,0.663906,N/A
1694554537244,Bad,0.844737,N/A,N/A,N/A,N/A,N/A
1694554573965,Bad,0.817619,N/A,N/A,N/A,N/A,N/A
1694554610605,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694554647325,Bad,0.886098,N/A,N/A,N/A,N/A,N/A
1694554684927,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694554723166,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694554768046,Earth,0.716108,Bad,0.956456,Bad,0.83382,N/A
1694554897964,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694554956286,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694554970527,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694554985566,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694555529885,Bad,0.928127,N/A,N/A,N/A,N/A,N/A
1694555583567,Bad,0.903165,N/A,N/A,N/A,N/A,N/A
1694555610924,Bad,0.866662,N/A,N/A,N/A,N/A,N/A
1694555637085,Bad,0.86059,N/A,N/A,N/A,N/A,N/A
1694555662606,Bad,0.857576,N/A,N/A,N/A,N/A,N/A
1694555687005,Bad,0.82936,N/A,N/A,N/A,N/A,N/A
1694555710366,Bad,0.843341,N/A,N/A,N/A,N/A,N/A
1694555733084,Bad,0.840825,N/A,N/A,N/A,N/A,N/A
1694555752206,Bad,0.856175,N/A,N/A,N/A,N/A,N/A
1694555768926,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694555783406,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599402458,Earth,0.888289,Bad,0.807092,Earth,0.793759,-0.09453
1694599487499,Earth,0.97879,Earth,0.495679,Earth,0.969753,-0.009037
1694599567338,Earth,0.896762,Bad,0.795527,Earth,0.892899,-0.003863
1694599649020,Low Confidence,N/A,N/A,N/A,N/A,N/A,N/A
1694599691018,Earth,0.960012,Bad,0.934497,Bad,0.623863,N/A
1694599779662,Earth,0.818887,Bad,0.901088,Earth,0.874044,0.055157
1694599857420,Bad,0.885184,N/A,N/A,N/A,N/A,N/A
1694599889742,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599904058,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599918620,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599933100,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599947660,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599962138,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599976538,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599991499,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694600007820,Bad,0.850015,N/A,N/A,N/A,N/A,N/A
1694600024619,Edge,0.856315,N/A,N/A,N/A,N/A,N/A
1694600594621,Bad,0.850021,N/A,N/A,N/A,N/A,N/A
1694600626139,Bad,0.829617,N/A,N/A,N/A,N/A,N/A
1694600650459,Bad,0.857081,N/A,N/A,N/A,N/A,N/A
1694600671740,Bad,0.849781,N/A,N/A,N/A,N/A,N/A
1694600686778,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694600701105,Bad,0.849718,N/A,N/A,N/A,N/A,N/A